Gender,Age,Tenure,MonthlyCharges,TotalCharges,PaymentMethod,ContractType,InternetService,StreamingServices,TechSupport,Churn
0,51,13,31.34,407.42,0,2,0,1,0,1
0,50,14,50.5,707.0,3,0,0,0,1,1
0,50,30,85.6,2568.0,0,0,1,0,0,1
1,74,44,106.25,4675.0,2,2,0,0,1,1
0,45,44,114.52,5038.88,2,1,1,0,0,0
0,66,3,90.03,270.09,1,0,1,1,0,0
1,30,22,25.26,555.72,0,0,1,0,1,0
0,57,23,130.21,2994.83,1,0,0,1,0,1
1,68,46,135.17,6217.82,3,1,1,1,0,0
1,18,61,31.75,1936.75,1,1,1,0,0,0
1,43,60,149.8,8988.0,2,2,1,0,1,1
1,35,42,128.33,5389.86,0,2,0,0,0,0
1,62,5,99.75,498.75,3,0,1,0,1,1
0,54,19,56.5,1073.5,1,0,1,1,0,1
0,66,67,75.51,5059.17,1,2,0,0,1,1
1,34,20,142.07,2841.4,0,2,0,0,1,1
0,57,19,129.69,2464.11,1,0,0,0,1,0
0,45,71,137.78,9782.38,3,1,0,0,1,0
1,29,0,94.49,0.0,0,1,0,0,1,1
0,63,27,136.99,3698.73,2,2,1,1,0,1
1,23,56,53.77,3011.12,0,0,1,0,1,0
0,26,37,75.58,2796.46,2,1,0,1,1,1
0,25,36,46.88,1687.68,0,1,1,1,0,1
0,28,43,73.91,3178.13,1,1,0,0,1,0
0,40,24,111.43,2674.32,0,1,0,1,1,0
1,19,37,127.43,4714.91,3,1,1,1,1,1
1,72,50,21.99,1099.5,2,0,1,0,1,1
0,18,63,45.45,2863.35,3,2,1,1,1,0
0,26,2,142.05,284.1,3,2,0,1,0,0
1,39,3,103.87,311.61,2,0,1,0,1,1
0,34,21,44.36,931.56,0,2,0,1,1,0
0,54,35,35.17,1230.95,3,1,1,0,1,0
0,33,24,74.49,1787.76,2,1,1,1,0,1
0,37,32,123.52,3952.64,1,0,0,1,1,0
0,27,32,106.55,3409.6,3,0,0,0,1,0
0,26,71,115.06,8169.26,2,1,1,1,1,1
1,33,18,146.82,2642.76,1,1,0,1,0,1
1,67,71,97.57,6927.47,3,2,1,0,0,0
1,22,57,141.75,8079.75,0,0,0,1,0,0
1,70,38,61.21,2325.98,0,1,1,0,0,0
0,42,69,67.84,4680.96,3,2,1,0,1,1
1,59,54,101.25,5467.5,2,2,1,0,1,1
1,53,22,22.66,498.52,0,2,1,1,0,0
0,33,13,38.29,497.77,0,2,0,1,1,0
0,33,53,92.91,4924.23,1,2,1,1,1,1
1,31,11,77.03,847.33,1,1,0,0,0,0
0,37,53,146.53,7766.09,1,1,1,0,1,0
1,24,45,134.44,6049.8,1,1,0,0,0,0
1,33,17,61.34,1042.78,1,1,0,1,0,1
1,69,60,116.07,6964.2,2,0,1,1,1,0
1,46,29,60.41,1751.89,3,0,0,1,1,0
0,75,49,80.81,3959.69,3,1,1,1,1,1
1,26,29,118.55,3437.95,1,1,0,0,0,0
1,61,56,128.83,7214.48,1,1,0,0,1,1
1,53,66,133.13,8786.58,3,0,1,0,0,0
0,61,43,106.98,4600.14,0,1,0,0,1,0
1,65,0,97.25,0.0,2,1,0,1,0,1
1,38,28,48.96,1370.88,3,1,0,1,0,0
1,31,60,89.54,5372.4,0,2,1,1,1,1
0,52,54,57.45,3102.3,0,1,0,0,1,1
0,31,37,29.1,1076.7,2,0,1,1,0,0
0,61,17,25.2,428.4,2,1,0,1,1,0
1,31,27,72.71,1963.17,3,2,1,0,0,0
1,28,15,52.03,780.45,3,2,0,1,1,1
1,55,52,146.11,7597.72,0,0,0,1,0,1
1,42,30,75.42,2262.6,1,1,0,0,0,1
0,44,53,108.02,5725.06,0,0,0,1,0,1
1,30,19,96.5,1833.5,1,2,1,1,1,0
1,68,13,146.92,1909.96,1,2,1,1,0,0
1,28,22,134.51,2959.22,2,1,1,1,0,1
0,50,3,120.67,362.01,2,0,1,1,0,1
0,27,66,105.8,6982.8,0,1,0,1,1,0
0,55,60,62.23,3733.8,3,1,1,0,0,0
1,54,66,29.92,1974.72,1,2,1,1,1,1
0,33,56,90.26,5054.56,1,2,0,0,0,1
0,42,62,129.37,8020.94,0,0,1,1,0,0
0,35,37,100.29,3710.73,3,0,1,1,1,1
0,44,25,112.19,2804.75,1,1,1,1,1,0
1,56,51,115.24,5877.24,2,0,1,1,0,0
1,52,64,117.44,7516.16,2,2,1,1,0,0
0,42,63,35.02,2206.26,1,0,1,0,1,0
0,71,16,120.03,1920.48,2,1,1,1,0,1
0,69,39,145.9,5690.1,3,1,1,0,1,1
0,20,34,56.07,1906.38,3,1,0,0,1,0
0,27,8,97.64,781.12,2,1,0,0,0,1
0,32,60,98.12,5887.2,1,1,1,1,0,0
1,21,16,49.78,796.48,2,2,1,0,0,1
0,59,16,113.98,1823.68,0,0,1,0,1,1
1,35,55,127.7,7023.5,2,0,0,1,1,1
0,78,14,73.58,1030.12,1,0,1,0,1,0
0,61,48,62.7,3009.6,0,2,1,0,1,0
1,24,50,119.74,5987.0,1,1,0,1,1,0
0,64,63,92.01,5796.63,1,0,1,1,1,1
0,22,18,78.66,1415.88,0,0,0,0,1,1
0,73,69,134.54,9283.26,3,1,1,1,0,1
0,47,59,95.24,5619.16,3,2,1,0,1,0
0,70,49,32.27,1581.23,0,0,1,0,0,0
1,56,32,92.74,2967.68,1,2,1,1,1,1
1,56,24,128.48,3083.52,0,2,1,0,0,0
1,69,28,149.17,4176.76,2,0,1,0,1,1
1,60,7,136.52,955.64,0,2,1,1,0,0
1,54,4,81.73,326.92,3,2,1,0,1,0
1,22,54,120.02,6481.08,1,1,0,0,1,0
0,18,25,147.93,3698.25,2,2,1,0,1,0
0,34,29,99.12,2874.48,2,0,0,0,0,1
0,76,42,127.17,5341.14,1,0,0,0,0,0
0,29,59,104.22,6148.98,3,0,0,0,0,1
0,27,2,65.16,130.32,2,0,1,0,1,1
1,61,42,77.53,3256.26,2,2,1,0,1,1
1,47,67,103.66,6945.22,0,2,1,0,0,0
0,41,31,75.53,2341.43,0,0,0,0,0,1
0,22,60,20.51,1230.6,3,2,0,1,1,1
0,47,35,134.27,4699.45,3,0,0,0,1,0
1,74,41,54.37,2229.17,0,1,1,1,0,0
1,68,55,96.31,5297.05,1,0,0,0,0,1
0,32,54,90.73,4899.42,0,0,0,1,0,1
1,41,39,75.1,2928.9,3,2,1,0,0,1
0,18,10,95.65,956.5,3,0,0,0,1,1
0,20,48,68.42,3284.16,1,0,1,1,0,1
0,26,22,92.33,2031.26,0,0,1,0,0,1
1,61,10,45.99,459.9,2,2,0,0,1,1
0,23,51,55.37,2823.87,0,2,1,1,1,0
0,69,61,113.07,6897.27,0,1,0,0,1,1
0,19,23,100.67,2315.41,2,0,1,0,1,1
1,61,68,32.59,2216.12,2,1,1,1,0,1
0,71,43,30.08,1293.44,0,1,1,1,1,0
1,19,34,51.9,1764.6,3,0,1,0,1,0
0,18,18,92.57,1666.26,1,1,1,0,0,1
0,73,18,41.15,740.7,2,1,0,1,1,1
0,21,23,37.02,851.46,3,1,1,0,1,1
1,71,40,26.22,1048.8,0,0,1,0,0,0
1,39,48,104.75,5028.0,0,1,1,0,0,1
1,23,47,25.66,1206.02,1,0,0,0,1,1
0,63,57,98.58,5619.06,3,2,1,1,1,0
0,30,31,94.12,2917.72,0,2,1,1,1,1
1,69,65,91.75,5963.75,2,0,0,0,0,0
0,59,20,146.02,2920.4,1,0,1,1,0,1
0,68,4,148.02,592.08,2,2,1,0,1,1
1,73,16,30.93,494.88,2,1,1,1,1,0
1,69,51,37.17,1895.67,0,1,1,1,1,0
0,72,48,140.66,6751.68,2,2,1,0,0,1
1,77,30,104.01,3120.3,2,0,0,1,0,0
1,55,56,96.5,5404.0,2,0,1,1,0,0
1,36,34,87.81,2985.54,3,0,1,1,0,0
1,64,42,105.6,4435.2,3,2,0,1,1,0
1,72,8,42.15,337.2,2,0,1,0,0,1
0,59,69,104.72,7225.68,0,2,1,1,0,1
0,44,1,82.88,82.88,0,2,1,1,1,1
0,40,12,97.88,1174.56,3,1,1,1,1,1
1,38,42,43.73,1836.66,2,1,1,1,0,0
1,45,4,27.43,109.72,1,0,0,0,1,0
0,66,68,69.48,4724.64,3,1,1,0,1,1
0,58,29,131.26,3806.54,2,0,1,0,1,1
1,66,19,107.82,2048.58,2,2,0,1,1,1
1,29,67,45.19,3027.73,3,1,0,1,0,1
1,23,18,42.88,771.84,3,2,1,1,0,1
0,59,2,56.22,112.44,3,2,1,1,0,0
1,45,2,61.31,122.62,1,2,0,0,0,0
1,64,0,126.43,0.0,3,1,1,1,1,0
0,47,5,106.96,534.8,1,0,1,1,0,1
0,74,53,53.08,2813.24,3,2,0,0,0,1
1,51,71,77.53,5504.63,0,1,1,1,1,1
1,45,62,71.9,4457.8,1,0,1,1,1,0
0,77,34,109.75,3731.5,0,0,1,1,1,1
0,19,33,144.46,4767.18,2,0,1,1,1,1
0,22,50,69.23,3461.5,1,0,1,1,1,0
1,51,71,79.04,5611.84,3,0,1,1,1,1
1,45,20,61.82,1236.4,1,1,1,0,0,1
1,58,4,69.43,277.72,2,1,1,1,1,1
1,74,45,57.79,2600.55,2,2,0,1,1,1
1,71,29,81.08,2351.32,3,1,1,1,0,0
1,21,26,112.49,2924.74,3,0,1,1,1,1
0,50,28,87.58,2452.24,1,0,0,1,0,0
0,53,57,108.03,6157.71,0,1,1,0,0,0
1,52,59,40.6,2395.4,3,0,1,1,0,0
0,43,62,98.69,6118.78,3,0,1,1,0,0
0,18,46,113.56,5223.76,2,1,1,1,0,1
1,28,47,52.15,2451.05,2,1,1,0,1,1
0,48,58,44.73,2594.34,3,1,1,0,1,1
0,18,18,105.67,1902.06,0,1,1,1,0,1
0,38,5,21.11,105.55,2,2,0,1,1,0
1,30,44,128.5,5654.0,0,1,1,1,0,0
1,28,58,132.22,7668.76,2,1,1,0,0,0
1,67,21,31.42,659.82,2,2,0,0,1,1
0,25,43,43.69,1878.67,3,0,0,0,1,1
0,36,20,122.83,2456.6,0,0,0,1,0,0
0,53,1,39.14,39.14,3,1,1,0,1,1
0,75,52,26.5,1378.0,3,2,0,0,0,1
0,74,38,130.79,4970.02,3,2,1,1,0,1
1,40,33,39.42,1300.86,1,1,0,0,0,1
1,71,37,27.19,1006.03,0,2,1,0,1,0
0,64,42,118.23,4965.66,0,2,1,1,0,1
1,49,9,118.33,1064.97,0,0,1,1,0,0
0,56,59,98.58,5816.22,1,2,0,0,0,0
0,55,23,93.81,2157.63,2,1,1,0,1,0
1,47,61,135.33,8255.13,0,1,0,1,0,1
0,21,17,124.97,2124.49,2,0,1,0,0,1
0,30,56,122.89,6881.84,0,2,1,0,1,0
1,72,6,92.13,552.78,0,2,0,0,0,0
1,47,64,146.98,9406.72,0,2,0,0,0,1
1,60,4,53.62,214.48,0,1,1,1,1,0
1,21,34,79.61,2706.74,2,0,0,1,1,1
1,20,15,55.43,831.45,2,2,0,1,1,0
1,43,40,44.78,1791.2,3,1,1,1,1,1
1,65,60,115.8,6948.0,0,1,0,0,1,0
1,63,37,57.5,2127.5,3,1,1,0,0,1
1,65,28,59.9,1677.2,0,1,1,0,1,0
0,42,21,75.07,1576.47,3,1,1,1,1,1
0,67,47,49.75,2338.25,2,0,0,0,1,0
0,52,2,76.76,153.52,2,1,1,0,0,1
0,32,5,143.62,718.1,3,1,0,0,0,0
0,46,1,95.59,95.59,3,0,1,0,0,1
0,50,31,51.14,1585.34,3,0,1,1,1,1
0,35,60,55.04,3302.4,1,2,1,1,1,0
0,27,41,121.35,4975.35,1,2,1,1,1,0
1,67,46,141.74,6520.04,1,0,1,1,1,0
1,29,62,140.75,8726.5,2,0,1,0,0,0
0,20,29,138.35,4012.15,1,1,1,0,0,1
0,27,61,97.96,5975.56,0,0,1,0,1,1
1,78,20,140.82,2816.4,2,1,1,1,0,0
0,21,13,72.87,947.31,2,1,1,1,1,0
0,42,16,69.54,1112.64,1,1,1,0,0,1
0,75,9,94.62,851.58,2,0,0,1,0,0
0,35,40,22.3,892.0,2,1,1,1,0,0
0,30,17,23.37,397.29,2,1,1,0,0,0
0,23,68,96.89,6588.52,0,1,1,0,0,1
1,38,34,126.71,4308.14,0,1,0,0,1,0
0,75,51,127.93,6524.43,3,1,1,0,1,1
1,52,49,28.77,1409.73,1,2,0,1,0,0
1,30,17,68.92,1171.64,2,0,0,0,0,0
1,77,67,138.36,9270.12,3,0,0,1,1,0
0,33,39,126.61,4937.79,2,0,1,1,1,0
1,61,42,63.02,2646.84,3,1,0,0,1,0
0,21,36,115.06,4142.16,1,1,1,1,1,0
0,45,21,64.05,1345.05,1,1,1,1,0,1
0,47,35,95.14,3329.9,2,1,1,1,0,1
0,34,53,69.45,3680.85,2,2,1,1,0,0
0,75,47,85.31,4009.57,3,0,1,0,1,1
0,40,27,61.29,1654.83,0,2,1,0,0,1
0,59,5,137.71,688.55,1,2,0,0,0,0
0,48,49,27.82,1363.18,1,2,1,0,0,1
0,46,5,147.07,735.35,0,1,1,0,1,0
0,28,28,83.09,2326.52,0,1,1,0,1,0
0,59,57,103.79,5916.03,2,1,1,0,0,0
1,28,45,73.43,3304.35,1,1,0,1,1,1
0,29,56,115.22,6452.32,0,0,1,0,0,0
0,22,18,134.95,2429.1,3,1,1,0,0,1
1,29,38,138.11,5248.18,0,2,0,1,0,1
1,79,60,80.64,4838.4,0,2,1,0,0,0
1,71,12,59.87,718.44,3,1,1,1,1,0
0,71,39,149.07,5813.73,0,1,1,1,1,1
1,20,3,21.5,64.5,1,0,1,1,1,1
0,28,70,48.27,3378.9,3,2,1,0,0,1
1,38,39,72.45,2825.55,3,0,0,0,0,0
1,18,6,51.73,310.38,1,1,1,1,1,1
0,54,15,126.63,1899.45,2,0,0,1,0,1
1,27,14,60.33,844.62,3,0,1,1,0,1
1,68,7,77.7,543.9,2,0,0,0,0,1
0,33,66,66.64,4398.24,2,2,1,1,0,1
0,30,40,54.52,2180.8,3,2,1,1,0,1
1,19,51,105.82,5396.82,2,2,1,1,0,1
1,63,6,46.48,278.88,2,1,0,0,1,1
0,60,42,137.88,5790.96,2,0,1,0,0,0
0,56,50,116.04,5802.0,2,0,1,0,1,1
0,26,30,123.37,3701.1,3,2,1,0,0,0
0,51,71,26.41,1875.11,0,1,1,1,0,0
0,54,43,149.62,6433.66,2,2,1,1,0,1
0,28,39,62.73,2446.47,0,0,1,0,0,0
1,18,40,98.73,3949.2,0,1,1,1,0,0
0,61,37,109.05,4034.85,0,0,1,1,0,0
1,70,47,20.8,977.6,2,2,0,1,1,0
0,20,19,129.6,2462.4,0,2,0,1,1,1
1,50,47,141.57,6653.79,0,2,1,0,1,0
1,25,31,114.74,3556.94,3,2,0,1,1,0
0,66,15,71.85,1077.75,1,1,0,0,0,0
1,69,2,89.3,178.6,1,0,1,0,0,1
1,54,20,55.81,1116.2,2,2,0,1,1,1
1,41,40,56.8,2272.0,2,1,1,0,0,1
0,77,48,142.84,6856.32,0,2,0,0,0,1
1,61,36,79.52,2862.72,2,1,1,0,0,1
1,27,39,123.72,4825.08,0,0,0,1,0,1
1,71,70,81.9,5733.0,1,0,1,1,1,1
1,34,19,42.47,806.93,2,2,0,0,1,0
1,38,38,33.43,1270.34,2,1,1,0,1,0
0,36,3,136.71,410.13,1,0,1,1,1,1
0,31,29,74.56,2162.24,3,2,1,1,1,1
0,71,8,35.99,287.92,3,2,1,0,1,1
1,68,35,47.9,1676.5,1,2,0,1,1,0
1,57,36,133.55,4807.8,1,2,0,0,0,1
0,19,59,66.05,3896.95,0,2,1,0,0,1
1,50,44,89.23,3926.12,2,2,1,0,1,0
0,75,16,90.75,1452.0,0,0,0,1,0,0
1,39,45,85.13,3830.85,0,1,0,0,0,1
0,46,13,132.75,1725.75,3,2,1,0,0,1
1,28,65,60.82,3953.3,3,0,1,0,1,0
1,23,21,100.21,2104.41,2,2,1,1,0,0
1,48,56,92.53,5181.68,1,1,1,0,0,0
1,38,16,38.9,622.4,1,1,1,1,1,1
1,29,21,89.31,1875.51,3,1,1,0,1,1
0,45,47,35.62,1674.14,2,2,1,1,1,0
1,74,4,79.05,316.2,2,0,1,0,0,0
0,69,5,44.24,221.2,2,0,1,0,0,0
1,22,66,138.28,9126.48,2,2,0,1,1,0
1,72,41,97.19,3984.79,1,2,1,1,1,1
1,38,35,84.67,2963.45,2,0,0,1,0,1
0,52,29,25.66,744.14,0,2,1,0,1,1
1,29,12,79.63,955.56,1,1,1,1,1,0
0,40,12,97.01,1164.12,3,1,1,0,1,1
1,38,11,36.15,397.65,2,1,1,1,0,0
1,57,51,123.36,6291.36,2,0,0,1,1,1
0,30,22,113.79,2503.38,0,2,1,0,1,1
0,79,26,134.52,3497.52,0,0,1,0,0,1
1,69,9,97.61,878.49,2,0,1,1,1,0
1,74,51,41.24,2103.24,1,1,1,0,0,0
1,47,13,51.87,674.31,1,2,1,1,1,0
0,66,3,32.13,96.39,3,1,0,0,1,0
1,22,14,135.33,1894.62,2,2,0,1,0,1
1,37,24,125.91,3021.84,1,1,1,0,1,1
1,38,27,20.8,561.6,1,2,0,0,0,1
1,45,29,39.51,1145.79,2,1,1,0,0,0
1,22,51,106.12,5412.12,3,2,1,1,0,1
1,68,12,40.66,487.92,1,1,0,0,0,1
0,57,22,46.89,1031.58,2,0,1,0,1,1
0,54,62,78.58,4871.96,2,2,1,0,0,1
0,33,61,138.14,8426.54,1,2,1,1,1,0
0,69,38,53.91,2048.58,2,0,1,0,1,1
0,46,6,137.05,822.3,3,0,1,1,1,0
0,59,22,146.98,3233.56,2,0,0,0,1,1
0,19,67,131.63,8819.21,0,1,1,1,1,0
0,72,55,129.57,7126.35,2,2,0,0,0,0
1,39,33,121.13,3997.29,2,0,1,1,0,1
1,26,44,100.83,4436.52,3,0,1,1,0,1
0,38,63,65.27,4112.01,1,2,0,0,1,1
1,71,33,134.46,4437.18,0,1,1,0,1,1
0,61,64,144.47,9246.08,3,0,1,0,1,0
1,24,59,53.12,3134.08,3,1,1,0,0,0
0,45,48,147.07,7059.36,0,2,1,0,1,1
0,52,68,100.65,6844.2,0,1,1,1,1,0
0,35,68,65.54,4456.72,2,0,1,0,0,1
1,59,63,88.23,5558.49,1,1,1,0,0,0
0,26,20,114.75,2295.0,3,0,1,1,0,1
1,72,19,80.81,1535.39,2,1,1,0,1,0
1,46,8,131.72,1053.76,0,2,1,0,1,0
0,71,0,91.68,0.0,2,1,1,0,1,1
1,79,39,127.94,4989.66,3,0,1,1,0,1
1,74,14,121.48,1700.72,3,1,1,0,0,1
1,73,47,70.05,3292.35,1,0,1,0,1,0
0,78,54,138.64,7486.56,1,2,0,0,1,0
0,72,50,98.87,4943.5,0,1,1,1,1,0
0,37,52,90.48,4704.96,0,2,1,1,0,1
1,19,51,32.32,1648.32,3,2,1,1,0,0
1,33,34,32.23,1095.82,0,1,1,0,1,0
0,64,42,79.15,3324.3,1,0,1,1,0,1
1,33,37,81.2,3004.4,3,1,1,1,1,1
1,72,49,77.23,3784.27,0,0,0,0,0,0
0,49,69,45.28,3124.32,2,1,1,0,1,1
0,48,50,148.96,7448.0,2,1,1,0,0,1
0,47,3,91.32,273.96,3,1,1,1,0,1
1,63,7,79.35,555.45,2,0,0,1,0,0
0,61,45,141.17,6352.65,0,1,1,1,0,1
1,79,40,100.07,4002.8,3,1,1,0,0,0
0,40,11,110.79,1218.69,3,2,1,0,1,1
1,34,69,114.29,7886.01,3,2,1,0,0,0
1,58,3,38.33,114.99,2,1,1,0,0,0
0,30,37,102.67,3798.79,0,1,0,1,0,0
1,44,34,25.03,851.02,0,2,1,0,1,0
0,73,31,74.37,2305.47,3,2,1,0,0,1
0,70,8,57.12,456.96,3,1,1,1,1,0
0,32,20,110.11,2202.2,2,0,0,1,1,0
1,50,2,84.17,168.34,1,2,1,0,0,0
0,78,27,138.49,3739.23,3,1,1,1,1,0
1,33,35,126.23,4418.05,3,1,1,0,0,1
0,67,71,93.32,6625.72,1,0,1,0,0,1
1,24,61,116.1,7082.1,3,1,1,1,0,1
0,29,29,131.34,3808.86,3,2,1,0,1,1
1,60,16,102.87,1645.92,0,1,0,1,0,0
0,42,70,38.2,2674.0,3,0,1,1,1,1
1,23,3,56.17,168.51,2,0,0,0,0,0
1,25,42,63.75,2677.5,0,0,1,1,1,0
1,37,22,68.13,1498.86,2,2,1,0,0,0
0,22,50,109.85,5492.5,1,1,0,1,0,0
1,71,36,139.54,5023.44,1,0,0,0,1,1
0,37,63,84.68,5334.84,3,0,1,0,1,0
1,25,61,138.88,8471.68,3,0,1,0,0,0
1,46,13,80.08,1041.04,0,1,1,1,0,1
1,60,48,147.71,7090.08,2,0,0,1,1,0
0,28,26,45.01,1170.26,0,0,1,1,1,0
0,57,39,104.35,4069.65,2,1,1,1,1,1
1,57,66,87.04,5744.64,1,0,0,1,1,1
1,39,48,78.66,3775.68,1,0,0,0,0,1
1,44,7,111.26,778.82,1,2,1,1,1,0
0,64,4,87.32,349.28,1,2,1,0,1,1
0,27,69,138.64,9566.16,1,1,1,1,0,0
0,21,22,111.31,2448.82,1,0,0,0,0,1
1,53,53,137.02,7262.06,0,1,1,1,0,1
1,70,24,49.47,1187.28,1,1,0,1,1,0
1,39,54,24.88,1343.52,3,0,1,1,1,1
1,37,48,52.35,2512.8,2,0,1,0,0,1
1,67,17,47.98,815.66,0,2,1,1,0,0
0,46,44,82.35,3623.4,0,1,1,1,1,0
1,42,5,144.66,723.3,3,2,1,0,1,0
0,55,61,86.58,5281.38,1,1,1,1,1,1
0,78,66,80.9,5339.4,0,2,1,0,1,0
1,72,18,114.66,2063.88,2,0,1,0,0,0
1,24,23,118.38,2722.74,2,1,1,1,0,1
0,49,67,30.34,2032.78,1,0,0,0,1,0
1,22,65,92.03,5981.95,2,0,1,0,0,1
0,30,11,53.35,586.85,1,1,1,0,0,1
0,24,12,70.84,850.08,3,0,1,1,0,1
1,61,56,70.26,3934.56,0,1,1,0,1,0
1,28,61,143.49,8752.89,0,0,1,0,0,0
0,47,6,69.94,419.64,1,0,1,0,0,1
0,55,27,135.64,3662.28,0,2,0,0,0,1
1,20,33,26.19,864.27,2,1,1,0,1,0
1,57,23,32.13,738.99,0,1,1,1,1,1
0,71,47,115.84,5444.48,0,1,0,0,1,0
0,66,32,144.91,4637.12,1,1,1,0,0,0
0,72,55,47.31,2602.05,1,1,0,0,1,1
1,41,45,104.41,4698.45,1,0,1,1,0,1
1,66,8,77.15,617.2,3,0,1,1,0,0
0,31,42,124.64,5234.88,0,0,1,1,0,0
0,44,29,56.96,1651.84,2,2,0,0,1,0
0,25,28,32.64,913.92,2,1,0,0,0,1
1,77,46,72.61,3340.06,0,0,1,0,0,0
0,47,66,42.12,2779.92,0,0,1,1,0,0
1,75,25,41.29,1032.25,2,2,1,1,1,0
0,20,31,78.19,2423.89,2,0,1,1,1,1
0,27,57,102.62,5849.34,0,0,1,1,0,0
0,31,70,96.75,6772.5,2,0,1,1,1,0
0,69,11,117.7,1294.7,3,0,1,1,1,1
1,64,71,120.93,8586.03,2,0,1,1,1,1
0,59,44,92.79,4082.76,2,1,1,0,1,0
1,66,71,144.38,10250.98,3,0,1,0,0,0
1,35,18,135.57,2440.26,1,0,0,0,0,0
1,60,52,36.62,1904.24,1,0,0,1,1,0
